Date,Portfolio_Value
2023-01-04,100129.0722731326
2023-01-05,98648.06140481644
2023-01-06,101044.78034167293
2023-01-09,101906.53716007147
2023-01-10,102808.45931769669
2023-01-11,104614.26875018002
2023-01-12,105383.853558772
2023-01-13,106705.63800847357
2023-01-17,106841.73526095168
2023-01-18,105524.33461361432
2023-01-19,104522.54868787054
2023-01-20,106701.46112114485
2023-01-23,108520.16213727764
2023-01-24,108765.09549968092
2023-01-25,108870.20081196113
2023-01-26,110273.28190149288
2023-01-27,111210.39393651817
2023-01-30,109257.50564455734
2023-01-31,110672.61282065511
2023-02-01,112491.05300382944
2023-02-02,115090.3268411064
2023-02-03,113505.07509479116
2023-02-06,112905.96072634611
2023-02-07,114939.1500844213
2023-02-08,114105.05630386756
2023-02-09,113096.95956946647
2023-02-10,112578.02428443941
2023-02-13,114277.84497481484
2023-02-14,114935.35517829479
2023-02-15,115090.42551189366
2023-02-16,113193.89719583273
2023-02-17,112442.1047906403
2023-02-21,110163.88226731631
2023-02-22,110142.73675350523
2023-02-23,112213.17561645465
2023-02-24,110921.75300909785
2023-02-27,111518.87055368861
2023-02-28,111464.46948453288
2023-03-01,110363.60731904751
2023-03-02,110979.28819911632
2023-03-03,113225.57714680381
2023-03-06,113177.69372361775
2023-03-07,111631.83030160701
2023-03-08,112128.29514874882
2023-03-09,110168.30638813922
2023-03-10,109842.43434946921
2023-03-13,110640.95571605848
2023-03-14,112712.47555439234
2023-03-15,112591.9494587556
2023-03-16,115245.24211196956
2023-03-17,114874.36799295702
2023-03-20,114933.72435657114
2023-03-21,116152.11954797407
2023-03-22,115351.53708892454
2023-03-23,116301.33070542931
2023-03-24,116126.22510044563
2023-03-27,115837.52016559395
2023-03-28,115636.79435966954
2023-03-29,117164.46494515632
2023-03-30,118109.54633523962
2023-03-31,119435.01633069446
2023-04-03,119670.03220342715
2023-04-04,119501.49908609864
2023-04-05,118547.66335632434
2023-04-06,119242.88743568388
2023-04-10,118982.49000644845
2023-04-11,118176.27141233915
2023-04-12,117595.61407505357
2023-04-13,119581.57036345167
2023-04-14,120506.34852392512
2023-04-17,120902.58201771569
2023-04-18,121538.17326145983
2023-04-19,121922.92861110665
2023-04-20,121197.7267933237
2023-04-21,121210.17567158905
2023-04-24,120999.27659293514
2023-04-25,119103.41106931114
2023-04-26,120502.0080580848
2023-04-27,122822.07666294884
2023-04-28,123243.96769762185
2023-05-01,123445.21312826821
2023-05-02,123066.3265447579
2023-05-03,122348.90961327603
2023-05-04,121852.084695808
2023-05-05,124172.50030027803
2023-05-08,124275.22816955092
2023-05-09,123738.23269266497
2023-05-10,124957.44563323459
2023-05-11,124780.43056284469
2023-05-12,123912.90001756068
2023-05-15,124477.51785797776
2023-05-16,124536.62779100932
2023-05-17,126158.44403161579
2023-05-18,127716.41203196732
2023-05-19,127364.86808052674
2023-05-22,127075.48152649861
2023-05-23,125845.36441560465
2023-05-24,125477.18356840925
2023-05-25,129238.21023885498
2023-05-26,131329.45928725277
2023-05-30,132253.13979919621
2023-05-31,130911.8393260216
2023-06-01,132980.6133817239
2023-06-02,133693.9145081052
2023-06-05,133481.19828389437
2023-06-06,133381.2488493108
2023-06-07,131525.51170429343
2023-06-08,133000.36012264565
2023-06-09,133151.66283612073
2023-06-12,134552.12237688075
2023-06-13,135302.9235185803
2023-06-14,136151.87227296413
2023-06-15,137661.82092951724
2023-06-16,136938.46889188458
2023-06-20,136747.1122787718
2023-06-21,135884.233462337
2023-06-22,136650.88110366068
2023-06-23,135802.58829223816
2023-06-26,134548.04993978926
2023-06-27,135961.13776636394
2023-06-28,135839.5625483433
2023-06-29,136285.1452804502
2023-06-30,138514.1987847017
2023-07-03,138385.5665074563
2023-07-05,137983.77036875224
2023-07-06,137447.1280501809
2023-07-07,137569.67420400656
2023-07-10,136857.2870793345
2023-07-11,137621.50934708148
2023-07-12,139366.168579073
2023-07-13,141183.20145051973
2023-07-14,141247.28448672435
2023-07-17,142444.6659934602
2023-07-18,143883.86970149764
2023-07-19,144086.3036006603
2023-07-20,142299.67257408213
2023-07-21,141405.3663495196
2023-07-24,141972.07737651098
2023-07-25,142768.83499921922
2023-07-26,142129.47095763474
2023-07-27,140974.28138873228
2023-07-28,142934.51743516297
2023-07-31,143248.17118169804
2023-08-01,142497.14281830285
2023-08-02,139889.01816908643
2023-08-03,139813.12559358912
2023-08-04,140113.44467252912
2023-08-07,140627.13313152047
2023-08-08,139772.8884998112
2023-08-09,137986.57749175237
2023-08-10,137908.15243318505
2023-08-11,137341.91546562305
2023-08-14,139015.71736879332
2023-08-15,137572.59578935904
2023-08-16,136660.96600657448
2023-08-17,135578.82919703334
2023-08-18,135606.83840201807
2023-08-21,137582.71671542182
2023-08-22,136914.9514572723
2023-08-23,138849.40155782792
